date,temperature
12/10/2024,20
12/11/2024,21
12/12/2024,19
12/13/2024,19
12/14/2024,17
12/15/2024,18
12/16/2024,17
12/17/2024,19
12/18/2024,22
12/19/2024,20
12/20/2024,21
12/21/2024,19
12/22/2024,18
12/23/2024,17
12/24/2024,19
12/25/2024,22
12/26/2024,19
12/27/2024,18
12/28/2024,19
12/29/2024,20
